ts,reconstruction_error,anomaly
2023-03-10 00:02:02,2.0936077,0
2023-03-10 00:02:03,0.57901895,0
2023-03-10 00:02:04,0.57781535,0
2023-03-10 00:02:05,0.43851578,0
2023-03-10 00:02:06,0.81363475,0
2023-03-10 00:02:07,1.6661023,0
2023-03-10 00:02:08,0.9032602,0
2023-03-10 00:02:09,0.6853962,0
2023-03-10 00:02:10,0.62486064,0
2023-03-10 00:02:11,5.08537,1
2023-03-10 00:02:12,1.0158628,0
2023-03-10 00:02:13,0.89073116,0
2023-03-10 00:02:14,3.0161924,1
2023-03-10 00:02:15,2.8238497,1
2023-03-10 00:02:16,2.2242491,1
2023-03-10 00:02:17,2.2138302,1
2023-03-10 00:02:18,2.661489,1
2023-03-10 00:02:19,2.2839448,1
